date,청약,아파트,종합소득세,구독서비스,AI
2026-09-10 00:00:00,6,20,0,0,85
2026-09-10 01:00:00,6,19,0,0,88
2026-09-10 02:00:00,5,19,0,0,83
2026-09-10 03:00:00,5,16,0,0,77
2026-09-10 04:00:00,4,18,0,0,79
2026-09-10 05:00:00,5,19,1,0,89
2026-09-10 06:00:00,6,21,1,0,92
2026-09-10 07:00:00,5,23,0,0,83
2026-09-10 08:00:00,5,24,0,0,76
2026-09-10 09:00:00,3,31,0,0,69
2026-09-10 10:00:00,3,26,0,0,67
2026-09-10 11:00:00,3,27,0,0,69
2026-09-10 12:00:00,3,28,0,0,67
2026-09-10 13:00:00,4,29,0,0,75
2026-09-10 14:00:00,4,25,0,0,70
2026-09-10 15:00:00,3,19,0,0,70
2026-09-10 16:00:00,2,17,0,0,80
2026-09-10 17:00:00,3,16,0,0,79
2026-09-10 18:00:00,3,20,0,0,67
2026-09-10 19:00:00,2,24,0,0,68
2026-09-10 20:00:00,3,32,0,0,54
2026-09-10 21:00:00,2,41,0,0,45
2026-09-10 22:00:00,3,47,0,0,53
2026-09-10 23:00:00,4,39,1,0,69
2026-09-11 00:00:00,5,32,0,0,81
2026-09-11 01:00:00,7,29,0,0,87
2026-09-11 02:00:00,6,29,0,0,82
2026-09-11 03:00:00,6,27,0,0,78
2026-09-11 04:00:00,6,29,0,0,80
2026-09-11 05:00:00,6,27,0,0,91
2026-09-11 06:00:00,6,29,1,0,75
2026-09-11 07:00:00,7,26,0,0,74
2026-09-11 08:00:00,5,27,0,0,73
2026-09-11 09:00:00,4,27,0,0,57
2026-09-11 10:00:00,4,24,0,0,54
2026-09-11 11:00:00,3,22,0,0,55
2026-09-11 12:00:00,3,20,0,0,64
2026-09-11 13:00:00,2,16,1,0,62
2026-09-11 14:00:00,3,18,0,0,61
2026-09-11 15:00:00,2,15,0,0,65
2026-09-11 16:00:00,2,13,0,0,67
2026-09-11 17:00:00,3,13,0,0,69
2026-09-11 18:00:00,2,12,0,0,70
2026-09-11 19:00:00,2,15,0,0,55
2026-09-11 20:00:00,0,17,0,0,51
2026-09-11 21:00:00,2,20,0,0,39
2026-09-11 22:00:00,2,22,0,0,41
2026-09-11 23:00:00,2,22,0,0,46
2026-09-12 00:00:00,4,21,0,0,51
2026-09-12 01:00:00,3,20,1,0,57
2026-09-12 02:00:00,3,20,0,0,59
2026-09-12 03:00:00,2,18,0,0,59
2026-09-12 04:00:00,3,17,0,0,62
2026-09-12 05:00:00,2,17,0,0,56
2026-09-12 06:00:00,3,17,0,0,63
2026-09-12 07:00:00,2,18,0,0,60
2026-09-12 08:00:00,2,18,0,0,61
2026-09-12 09:00:00,3,22,0,0,55
2026-09-12 10:00:00,2,21,0,0,57
2026-09-12 11:00:00,2,20,0,0,52
2026-09-12 12:00:00,2,17,0,0,52
2026-09-12 13:00:00,2,17,0,0,55
2026-09-12 14:00:00,2,16,0,0,62
2026-09-12 15:00:00,2,13,0,0,60
2026-09-12 16:00:00,2,14,0,0,65
2026-09-12 17:00:00,2,13,0,0,61
2026-09-12 18:00:00,1,13,0,0,62
2026-09-12 19:00:00,0,17,0,0,56
2026-09-12 20:00:00,0,23,0,0,46
2026-09-12 21:00:00,0,23,0,0,37
2026-09-12 22:00:00,1,29,0,0,38
2026-09-12 23:00:00,1,22,0,0,45
2026-09-13 00:00:00,2,19,0,0,46
2026-09-13 01:00:00,3,17,0,0,50
2026-09-13 02:00:00,2,18,0,0,55
2026-09-13 03:00:00,2,18,0,0,52
2026-09-13 04:00:00,2,17,0,0,53
2026-09-13 05:00:00,3,18,0,0,59
2026-09-13 06:00:00,3,18,0,0,61
2026-09-13 07:00:00,3,17,0,0,60
2026-09-13 08:00:00,3,17,0,0,67
2026-09-13 09:00:00,2,21,1,0,55
2026-09-13 10:00:00,3,20,1,0,55
2026-09-13 11:00:00,3,18,0,0,59
2026-09-13 12:00:00,3,17,0,0,66
2026-09-13 13:00:00,3,16,0,0,70
2026-09-13 14:00:00,2,14,0,0,75
2026-09-13 15:00:00,3,12,0,0,74
2026-09-13 16:00:00,2,11,0,0,70
2026-09-13 17:00:00,2,12,1,0,69
2026-09-13 18:00:00,0,12,0,0,62
2026-09-13 19:00:00,0,16,0,0,56
2026-09-13 20:00:00,2,18,0,0,43
2026-09-13 21:00:00,2,19,0,0,40
2026-09-13 22:00:00,3,19,0,0,46
2026-09-13 23:00:00,4,18,0,0,61
2026-09-14 00:00:00,7,18,1,0,95
2026-09-14 01:00:00,7,19,1,0,84
2026-09-14 02:00:00,7,19,1,0,83
2026-09-14 03:00:00,7,18,0,0,75
2026-09-14 04:00:00,6,20,1,0,79
2026-09-14 05:00:00,6,19,0,0,92
2026-09-14 06:00:00,4,18,0,0,87
2026-09-14 07:00:00,5,18,1,0,87
2026-09-14 08:00:00,4,18,0,0,77
2026-09-14 09:00:00,4,15,0,0,64
2026-09-14 10:00:00,4,15,0,0,63
2026-09-14 11:00:00,4,16,0,0,63
2026-09-14 12:00:00,4,16,0,0,71
2026-09-14 13:00:00,4,13,0,0,73
2026-09-14 14:00:00,3,12,0,0,80
2026-09-14 15:00:00,3,11,0,0,81
2026-09-14 16:00:00,3,11,0,1,88
2026-09-14 17:00:00,2,9,0,0,86
2026-09-14 18:00:00,3,11,0,0,99
2026-09-14 19:00:00,0,10,0,0,100
2026-09-14 20:00:00,2,14,0,0,78
2026-09-14 21:00:00,1,14,0,0,64
2026-09-14 22:00:00,3,14,0,0,66
2026-09-14 23:00:00,4,13,0,0,77
2026-09-15 00:00:00,6,15,0,0,92
2026-09-15 01:00:00,6,19,1,0,96
2026-09-15 02:00:00,6,17,1,0,87
2026-09-15 03:00:00,5,16,0,0,83
2026-09-15 04:00:00,5,17,1,0,82
2026-09-15 05:00:00,5,17,1,0,91
2026-09-15 06:00:00,5,17,1,0,96
2026-09-15 07:00:00,5,18,1,0,95
2026-09-15 08:00:00,5,18,0,0,84
2026-09-15 09:00:00,3,16,0,0,72
2026-09-15 10:00:00,3,14,0,0,74
2026-09-15 11:00:00,3,12,0,0,70
2026-09-15 12:00:00,3,13,0,0,79
2026-09-15 13:00:00,4,13,0,0,76
2026-09-15 14:00:00,3,11,0,0,77
2026-09-15 15:00:00,3,11,0,0,85
2026-09-15 16:00:00,2,11,0,0,94
2026-09-15 17:00:00,1,11,0,0,100
2026-09-15 18:00:00,3,12,0,0,86
2026-09-15 19:00:00,0,11,0,0,84
2026-09-15 20:00:00,0,11,0,0,77
2026-09-15 21:00:00,2,12,0,0,63
2026-09-15 22:00:00,3,13,0,0,59
2026-09-15 23:00:00,4,15,0,0,79
2026-09-16 00:00:00,5,16,1,0,95
2026-09-16 01:00:00,6,17,1,0,84
2026-09-16 02:00:00,5,19,1,0,82
2026-09-16 03:00:00,5,16,0,0,76
2026-09-16 04:00:00,6,15,1,0,77
2026-09-16 05:00:00,5,18,1,0,84
2026-09-16 06:00:00,5,19,1,0,82
2026-09-16 07:00:00,5,18,1,0,73
2026-09-16 08:00:00,3,21,0,0,69
2026-09-16 09:00:00,3,19,0,0,64
2026-09-16 10:00:00,2,16,0,0,64
2026-09-16 11:00:00,3,14,0,0,64
2026-09-16 12:00:00,2,16,0,0,69
2026-09-16 13:00:00,2,13,0,0,69
2026-09-16 14:00:00,2,12,0,0,76
2026-09-16 15:00:00,2,11,0,0,77
2026-09-16 16:00:00,2,12,0,0,81
2026-09-16 17:00:00,2,11,0,0,87
2026-09-16 18:00:00,2,11,0,0,73
2026-09-16 19:00:00,2,10,0,0,63
2026-09-16 20:00:00,0,13,0,0,61
2026-09-16 21:00:00,1,14,0,0,51
2026-09-16 22:00:00,2,21,0,0,52
2026-09-16 23:00:00,3,20,0,0,69
2026-09-17 00:00:00,5,22,0,0,89
